m30,BTR,FET,FDT,SHR,GRS,CRP
61321,0.02,2.464,0.015,14.934,23.742,33.551
61322,0.003,2.46,0,19.079,27.032,23.006
61323,0,1.567,0,23.215,33.624,6.047
61324,0,1.776,0,20.874,39.507,3.757
61325,0.068,6.025,0.052,21.499,37.448,10.438
61326,0.07,6.937,0.32,10.773,38.872,28.574
61327,0.7,49.665,4.084,17.714,14.474,8.564
61328,0.695,72.489,5.317,13.318,9.056,0.116
61329,0.566,73.668,4.322,13.126,9.228,0.081
61330,0.109,77.902,2.899,11.385,8.029,0.097
61331,0.157,53.482,3.364,18.297,19.358,1.479
61332,0.652,31.877,5.249,14.974,30.183,11.143
61333,0.924,56.376,6.544,17.244,15.751,0.725
61334,2.332,55.664,3.087,17.154,16.467,2.934
61335,2.592,43.075,0.306,17.34,25.695,3.926
61336,1.927,14.17,0,13.849,42.384,7.764
61337,0.281,12.319,0,13.802,39.759,11.335
61338,0.077,12.619,0,10.29,42.384,13.679
61339,1.935,23.875,0,12.272,32.376,17.284
61340,0.29,4.529,0,10.803,47.159,7.091
61341,0.084,2.967,0,9.062,48.824,7.357
61342,1.347,9.879,0,10.644,38.531,18.995
61343,0.031,1.534,0,13.362,41.264,5.082
61344,0,1.748,0,23.776,31.451,3.474
61345,0.016,3.286,0,29.17,28.103,4.703
61346,0,1.378,0,14.304,42.678,5.691
61347,0,0.929,0,10.116,47.159,3.896
61348,0,0.405,0,6.986,47.352,3.537
61349,0,1.69,0,9.182,43.592,13.125
61350,0,2.346,0,9.167,41.054,20.521
61351,0,2.675,0,10.023,43.886,16.248
61352,0.004,2.726,0,6.578,39.942,26.316
61353,0.005,3.156,0,6.623,44.551,23.639
61354,0.138,4.365,0,5.377,25.313,47.978
61355,0.461,4.628,0,4.625,14.72,59.909
61356,0.158,4.968,0,4.45,13.401,63.292
61357,0.051,4.437,0,4.282,12.219,61.924
61358,0.43,4.747,0,4.176,9.566,67
61359,0.316,5.514,0,4.069,8.438,69.38
61360,0.213,7.676,0,4.358,8.986,70.556
61361,0.308,8.978,0,4.282,8.854,68.173
61362,1.137,7.436,0,4.326,8.871,71.393
61363,0.841,7.631,0,4.344,8.503,70.826
61364,0.664,7.113,0,4.236,8.547,71.781
61365,0.809,5.695,0,4.304,8.615,72.574
61366,1.789,6.315,0,4.356,8.719,72.796
61367,1.254,5.603,0,4.447,8.859,74.382
61368,3.394,4.739,0.033,4.437,8.852,74.537
61369,25.131,5.246,1.044,6.49,7.904,46.342
61370,42.509,10.472,2.265,10.243,8.491,21.183
61371,33.387,12.146,1.538,8.702,7.227,15.251
61372,30.521,12.664,2.079,9.408,6.414,3.436
61373,37.348,18.024,3.054,11.987,8.816,8.436
61374,39.631,17.541,3.42,16.405,11.717,8.245
61375,36.034,15.476,2.95,19.739,14.421,11.138
61376,38.517,22.127,3.667,17.436,11.998,1.766
61377,44.991,22.887,2.672,14.648,9.741,0.193
61378,21.459,8.206,0.654,5.217,3.481,0.051
61379,0.08,0.007,0.02,0.052,0.035,0
61380,0.281,0.056,0.089,0.02,0.013,0
61383,16.503,4.33,0.287,2.786,2.36,1.919
61384,25.685,9.363,0.524,6.127,4.398,1.448
61385,3.903,2.056,0.121,0.852,0.549,0.002
61389,0,0,0,0.003,0.002,0
61391,22.668,3.939,6.253,2.074,1.379,0.013
61392,33.303,24.964,15.764,6.004,3.964,0.042
61393,16.737,41.332,11.309,8.693,5.784,0.013
61394,18.508,48.308,12.443,7.352,4.857,0.016
61395,13.45,54.948,9.633,8.985,5.932,0.046
61396,11.101,41.566,8.3,10.724,6.748,0.066
61397,11.959,57.206,8.872,10.834,6.95,0.058
61398,11.126,58.236,8.033,10.367,6.713,0.035
61399,5.718,72.156,4.5,7.989,5.267,0.022
61400,4.039,59.098,3.254,7.28,4.816,0.034
61401,12.649,45.401,8.947,10.579,7.036,1.073
61402,13.63,28.576,8.496,13.343,9.672,9.112
61403,9.256,48.958,7.105,13.697,9.441,0.207
61404,8.836,45.082,6.593,11.549,7.614,0.049
61405,13.823,45.321,9.775,10.905,6.966,0.061
61406,13.914,40.799,9.866,9.361,6.157,0.059
61407,6.882,33.641,5.269,6.657,4.339,0.028
61408,16.418,47.067,11.544,8.545,5.591,0.013
61409,21.634,38.149,13.565,9.397,6.178,0.014
61410,20.869,41.079,13.124,8.89,5.846,0.013
61411,13.751,50.266,9.584,10.738,7.246,0.037
61412,9.944,44.282,7.351,8.513,5.774,0.077
61413,7.63,56.337,5.969,10.003,7.395,0.138
61414,11.437,59.088,8.461,8.901,6.697,0.099
61415,15.545,51.861,10.526,7.564,5.114,0.081
61416,23.307,44.102,13.906,8.746,5.872,0.051
61417,15.55,53.736,10.262,10.787,7.182,0.055
61418,18.102,51.489,10.752,10.669,7.666,0.153
61419,15.563,28.787,8.706,9.968,8.04,1.5
61420,9.781,13.689,5.681,6.915,8.416,7.009
61421,21.272,38.197,11.249,13.89,11.05,3.362
61422,44.818,33.033,5.687,8.958,6.056,1.158
61423,39.983,30.344,10.122,9.042,6.619,1.645
61424,27.01,35.707,7.262,9.923,7.674,5.064
61425,20.09,41.618,11.594,9.871,7.767,9.104
61426,24.825,39.994,14.957,9.938,6.868,2.247
61427,13.193,53.181,9.104,11.504,9.673,1.219
61428,10.372,59.606,8.068,11.573,8.154,1.177
61429,13.184,60.339,10.016,8.692,5.994,0.713
61430,11.604,40.991,8.241,8.234,5.811,3.443
61431,1.027,2.407,0.665,1.288,0.998,0.879
61432,0.003,0.009,0.002,0.114,0.074,0.021
61433,0,0,0,0.013,0.009,0
