m30,BTR,FET,FDT,SHR,GRS,CRP
14568,0,0.012,0,4.044,1.733,0.153
14569,0,0.015,0,3.186,1.164,0.135
14570,0,0.031,0,3.224,0.981,0.151
14571,0,0.014,0,2.826,1.112,0.119
14572,0,0.051,0,5.538,2.52,0.241
14573,0,0.026,0,2.606,0.906,0.117
14574,0,0.005,0,0.889,0.404,0.032
14575,0,0,0,0.183,0.15,0.002
14576,0,0,0,0.064,0.054,0.001
14580,0,0,0,0.006,0.002,0.001
14581,0,0.001,0,0.779,0.685,0.01
14582,0,0.001,0,1.541,0.994,0.034
14583,0,0.008,0,6.356,2.702,0.242
14584,0,0.018,0,15.518,4.264,0.751
14585,0,0.039,0,13.531,3.884,0.682
14586,0,0.004,0,1.858,1.015,0.06
14587,0,0,0,0.177,0.108,0.004
14588,0,0.001,0,1.094,0.667,0.027
14589,0,0.022,0,2.101,1.749,0.025
14590,0,0,0,1.454,1.324,0.008
14591,0,0.002,0,4.062,2.398,0.121
14592,0,0.007,0,11.403,6.822,0.298
14593,0,0.02,0,18.871,9.534,0.634
14594,0,0.055,0,13.408,8.358,0.34
14595,0,0.021,0,7.232,3.559,0.246
14596,0,0.004,0,4.047,1.589,0.166
14597,0,0,0,0.387,0.237,0.007
14598,0,0.002,0,0.898,0.426,0.032
14599,0,0.004,0,1.376,0.688,0.045
14600,0,0.001,0,1.079,0.713,0.023
14601,0,0,0,0.087,0.022,0.002
14605,0,0,0,0.005,0.005,0
14606,0,0,0,0.028,0.009,0.001
14608,0,0,0,0.025,0.071,0.004
14609,0,0,0,0.019,0.008,0.001
14610,0,0,0,0.111,0.047,0.006
14611,0,0,0,0.169,0.15,0.001
14612,0,0,0,0.044,0.015,0.002
14613,0,0,0,0.006,0.003,0
14615,0,0,0,0.009,0.042,0.002
14616,0,0,0,0.033,0.024,0.001
14617,0,0,0,0.002,0.002,0
14713,0,0,0,0.003,0.003,0
14714,0,0,0,0.011,0.013,0
14715,0,0,0,0.012,0.021,0.001
14716,0,0.007,0,0.001,0.004,0
14717,0,0,0,0.002,0.002,0
14719,0,0.001,0,0.067,0.086,0.005
14721,0,0,0,0.069,0.081,0.007
14722,0,0,0,0.052,0.065,0.002
14782,0,0.007,0,0.2,0.292,0.017
14783,0,0,0,0.047,0.071,0.002
14784,0,0,0,0.006,0.045,0.002
14785,0,0,0,0.086,0.07,0.008
14786,0,0.002,0,1.567,0.548,0.101
14787,0,0.001,0,4.412,2.03,0.327
14788,0,0.002,0,3.721,0.748,0.224
14789,0,0.001,0,0.383,0.153,0.024
14790,0,0.001,0,0.294,0.26,0.027
14791,0,0.001,0,0.206,0.26,0.018
14792,0,0,0,0.522,0.389,0.015
14793,0,0,0,0.272,0.136,0.016
14794,0,0.002,0,0.747,0.164,0.041
14796,0,0,0,0.213,0.081,0.013
14797,0,0,0,0,0,0
14798,0,0,0,0.005,0.005,0
14800,0,0.002,0,0.094,0.017,0.005
14802,0,0.001,0,0.186,0.035,0.01
14803,0,0.003,0,0,0,0
14804,0,0,0,0.195,0.027,0.012
14805,0,0,0,0.17,0.031,0.009
14861,0,0,0,0.007,0.062,0.004
14913,0,0,0,0.076,0.029,0.005
14914,0,0,0,0.174,0.136,0.016
14915,0,0,0,0.005,0.002,0
14943,0,0,0,0.017,0.001,0.001
14944,0,0,0,0.982,0.215,0.059
14945,0,0,0,1.427,0.3,0.081
14946,0,0.001,0,0.246,0.059,0.017
14947,0,0.006,0,0.71,0.214,0.037
14948,0,0.058,0,4.615,1.022,0.256
14949,0,0.09,0,7.719,1.701,0.428
14950,0,0.047,0,4.805,0.866,0.265
14951,0,0.001,0,0.375,0.05,0.02
14952,0,0.008,0,1.519,0.472,0.073
14953,0,0.023,0,2.52,0.762,0.126
14954,0,0,0,0.171,0.131,0.003
14955,0,0,0,0.03,0.03,0
14960,0,0,0,0.011,0.001,0.001
14961,0,0,0,0.011,0.001,0.001
15290,0,0,0,0.871,0.665,0.017
15291,0,0,0,0.563,0.358,0.014
15292,0,0.013,0,1.912,0.94,0.065
15293,0,0.03,0,4.959,1.878,0.203
15294,0,0.016,0,4.311,1.141,0.214
15295,0,0.02,0,4.539,1.813,0.18
15296,0,0.084,0,10.099,2.443,0.51
15297,0,0.028,0,5.372,1.599,0.268
15298,0,0.026,0,3.489,1.161,0.174
15299,0,0.019,0,3.53,1.129,0.169
15300,0,0.006,0,1.247,0.629,0.047
15301,0,0.001,0,0.524,0.167,0.021
15302,0,0,0,0.012,0.008,0.001
15304,0,0.005,0,0.039,0.043,0
15305,0,0.001,0,0.414,0.311,0.006
15306,0,0.01,0,1.596,0.91,0.049
15307,0,0,0,1.85,1.292,0.033
15308,0,0.002,0,0.821,0.806,0.002
15309,0,0.001,0,0.927,0.531,0.026
15310,0,0,0,3.043,1.543,0.108
15311,0,0.005,0,2.459,1.282,0.08
15312,0,0.013,0,8.661,5.021,0.256
15313,0,0.047,0,8.641,4.797,0.28
15314,0,0.093,0,15.236,7.649,0.584
15315,0,0.021,0,4.183,2.381,0.151
15316,0,0.01,0,4.043,1.655,0.167
15317,0,0.028,0,6.077,2.394,0.258
15318,0,0.008,0,7.23,3.094,0.282
15319,0,0,0,1.045,0.612,0.03
15320,0,0.007,0,0.934,0.459,0.032
15321,0,0,0,0.088,0.105,0.004
15322,0,0,0,0.026,0.026,0
15323,0,0,0,0.002,0.002,0
15324,0,0,0,0.088,0.088,0
15325,0,0,0,0.002,0.002,0
15326,0,0,0,0.036,0.025,0.001
15327,0,0,0,0.023,0.028,0.002
15328,0,0,0,0.023,0.021,0
15329,0,0,0,0.283,0.167,0.008
15330,0,0,0,0.192,0.092,0.005
15331,0,0,0,0.144,0.077,0.003
15343,0,0,0,0.021,0.018,0
15344,0,0,0,0.23,0.224,0
15345,0,0,0,0.036,0.013,0.002
15346,0,0,0,0.799,0.231,0.044
15347,0,0,0,0.642,0.171,0.029
15348,0,0,0,1.231,0.223,0.064
15349,0,0,0,0.551,0.136,0.027
15437,0,0,0,0.003,0.011,0
15438,0,0,0,0.467,0.38,0.006
15439,0,0.001,0,1.52,1.287,0.035
15440,0,0,0,0.314,0.194,0.009
15502,0,0.001,0,0.481,0.181,0.034
15503,0,0.002,0,1.4,0.468,0.086
15504,0,0,0,0.509,0.42,0.025
15505,0,0,0,0.108,0.08,0.005
15507,0,0.001,0,0.271,0.132,0.021
15508,0,0,0,0.119,0.024,0.007
15509,0,0,0,0.416,0.168,0.018
15510,0,0.001,0,0.116,0.053,0.005
15511,0,0.006,0,0.423,0.368,0.03
15512,0,0.002,0,0.379,0.403,0.019
15513,0,0.012,0,2.039,1.691,0.074
15514,0,0,0,0.001,0,0
15516,0,0.001,0,0.106,0.012,0.007
15517,0,0.013,0,0.718,0.307,0.031
15520,0,0.001,0,0.198,0.022,0.013
15521,0,0.001,0,0.569,0.134,0.035
15522,0,0.021,0,0.599,0.258,0.023
15665,0,0,0,0.007,0.001,0.001
15666,0,0,0,0.009,0.045,0.002
15667,0,0.005,0,0.711,0.136,0.043
15668,0,0.009,0,0.857,0.182,0.057
15669,0,0.017,0,1.138,0.437,0.083
15670,0,0,0,0.106,0.042,0.004
15673,0,0.002,0,0.248,0.116,0.009
15674,0,0,0,2.692,1.724,0.101
15675,0,0.004,0,3.838,1.604,0.21
15676,0,0.006,0,3.853,1.355,0.246
15677,0,0,0,0.135,0.121,0.009
15684,0,0,0,0.536,0.265,0.032
15685,0,0.01,0,2.994,1.005,0.159
15686,0,0.081,0,11.67,3.551,0.673
15687,0,0,0,1.784,0.956,0.116
15688,0,0,0,2.621,0.89,0.171
15689,0,0,0,0.137,0.026,0.006
15980,0,0,0,0.056,0.006,0.002
15981,0,0,0,0.499,0.061,0.028
15982,0,0,0,0.035,0.004,0.003
15991,0,0,0,0.034,0.003,0.002
15993,0,0,0,0.004,0.002,0
15994,0,0,0,0.017,0.002,0.001
15995,0,0,0,0.005,0.001,0.001
15996,0,0,0,0.006,0.006,0
15998,0,0,0,0.002,0.002,0
16004,0,0,0,0.004,0.001,0
16012,0,0,0,0.003,0.002,0
16013,0,0,0,0.515,0.092,0.028
16014,0,0.016,0,1.532,0.794,0.049
16015,0,0.008,0,1.711,0.723,0.065
16016,0,0.006,0,2.33,0.849,0.102
16017,0,0.007,0,1.28,0.352,0.062
16018,0,0,0,0.148,0.066,0.006
16019,0,0.001,0,0.089,0.158,0.005
16020,0,0,0,0.206,0.04,0.011
16021,0,0.006,0,1.8,1.192,0.056
16022,0,0,0,0.602,0.289,0.018
16023,0,0.001,0,2.084,0.88,0.081
16024,0,0.001,0,0.953,0.313,0.049
16025,0,0,0,0.958,0.633,0.021
16026,0,0.004,0,2.347,1.132,0.086
16027,0,0.008,0,3.183,1.14,0.138
16028,0,0.004,0,2.567,1.436,0.074
16029,0,0.005,0,8.036,6.33,0.122
16030,0,0.016,0,3.033,2.019,0.079
16031,0,0.001,0,1.806,1.213,0.045
16032,0,0,0,1.923,1.38,0.034
16033,0,0.004,0,3.96,1.668,0.16
16034,0,0.051,0,6.508,1.807,0.341
16035,0,0.085,0,9.037,3.829,0.358
16036,0,0.072,0,11.697,4.002,0.525
16037,0,0.066,0,8.128,3.54,0.314
16038,0,0.021,0,3.518,1.696,0.12
16044,0,0,0,0.024,0.013,0.001
16048,0,0,0,0.067,0.025,0.005
16049,0,0.001,0,0.39,0.084,0.022
16050,0,0.001,0,0.231,0.027,0.013
16051,0,0,0,0.02,0.002,0.001
16056,0,0,0,0.085,0.026,0.004
16057,0,0,0,0.049,0.041,0.001
16058,0,0,0,0.514,0.427,0.011
16059,0,0,0,1.396,0.552,0.063
16060,0,0,0,2.236,1.02,0.082
16061,0,0,0,1.312,0.996,0.019
16062,0,0.001,0,1.235,0.433,0.05
16063,0,0.007,0,4.746,1.065,0.25
16064,0,0.019,0,9.106,2.814,0.422
16065,0,0.006,0,11.338,2.957,0.548
16066,0,0,0,1.402,0.572,0.049
16067,0,0,0,1.524,0.389,0.074
16068,0,0,0,0.183,0.093,0.006
16158,0,0.006,0,0,0,0
16222,0,0.063,0,2.235,1.805,0.174
16223,0,0.018,0,1.107,0.614,0.065
16224,0,0.033,0,2.151,1.713,0.18
16225,0,0.001,0,0.411,0.242,0.027
16226,0,0,0,0.017,0.008,0.001
16227,0,0,0,0.027,0.027,0
16229,0,0.123,0,2.633,1.517,0.187
16230,0,0.084,0,1.996,1.347,0.134
16231,0,0.196,0,6.799,3.317,0.381
16232,0,0.103,0,6.507,3.87,0.378
16233,0,0.044,0,1.367,1.2,0.088
16234,0,0.002,0,0.582,0.402,0.012
16235,0,0,0,0.068,0.061,0
16240,0,0,0,0.005,0.005,0
16241,0,0.006,0,0.316,0.093,0.02
16242,0,0.018,0,1.587,0.633,0.112
16243,0,0.069,0,4.577,0.905,0.277
16253,0,0,0,0.226,0.07,0.014
16254,0,0,0,0.925,0.243,0.055
16256,0,0,0,0.071,0.097,0.009
16257,0,0,0,0.543,0.292,0.038
16258,0,0,0,0.001,0,0
16394,0,0,0,0.016,0.011,0.001
16395,0,0.001,0,4.696,1.911,0.323
16396,0,0,0,11.591,2.585,0.724
16397,0,0,0,0.905,0.247,0.057
16401,0,0.001,0,0.871,0.458,0.062
16402,0,0,0,0.246,0.048,0.014
16403,0,0,0,0.034,0.042,0.002
16405,0,0,0,0.047,0.026,0.001
16406,0,0.003,0,1.264,0.3,0.075
16407,0,0,0,0.452,0.254,0.017
16408,0,0,0,0.068,0.021,0.002
16409,0,0,0,0.498,0.212,0.029
16410,0,0,0,0.087,0.098,0.007
16411,0,0,0,0.091,0.011,0.004
16696,0,0,0,0.033,0.003,0.002
16697,0,0,0,0.006,0.001,0
16698,0,0,0,0.001,0,0
16699,0,0,0,0.717,0.113,0.038
16700,0,0,0,1.181,0.144,0.066
16701,0,0,0,1.937,0.339,0.1
16702,0,0,0,0.342,0.055,0.018
16715,0,0,0,0.006,0.002,0
16716,0,0,0,0.002,0.001,0
16717,0,0,0,0.007,0.006,0
16721,0,0,0,0.013,0.013,0
16725,0,0,0,0.003,0.003,0
16726,0,0,0,0.009,0.009,0
16727,0,0,0,0.114,0.069,0.004
16728,0,0,0,0.215,0.17,0.002
16729,0,0,0,0.042,0.042,0
16730,0,0,0,0.023,0.018,0
16735,0,0,0,0.209,0.043,0.011
16736,0,0,0,2.248,1.167,0.073
16737,0,0.009,0,4.612,2.22,0.16
16738,0,0.002,0,0.763,0.458,0.026
16739,0,0.019,0,3.601,1.922,0.114
16740,0,0.021,0,2.696,0.894,0.131
16741,0,0.006,0,2.038,0.773,0.082
16742,0,0,0,0.685,0.601,0.006
16743,0,0.001,0,0.593,0.504,0.005
16744,0,0,0,0.126,0.087,0.002
16745,0,0,0,0.003,0.003,0
16746,0,0.011,0,4.568,1.481,0.211
16747,0,0.159,0,18.671,5.553,0.948
16748,0,0.078,0,8.367,3.395,0.367
16749,0,0.003,0,1.9,1.008,0.097
16751,0,0,0,0.005,0.002,0
16752,0,0,0,0.56,0.221,0.021
16753,0,0.015,0,4.911,1.832,0.229
16754,0,0.145,0,18.616,4.346,0.988
16755,0,0.226,0,24.356,6.068,1.298
16756,0,0.153,0,19.328,5.208,0.958
16757,0,0.014,0,5.254,2.364,0.197
16768,0,0,0,0.004,0.002,0
16775,0,0.046,0,0.992,0.426,0.042
16776,0,0.004,0,1.04,0.502,0.035
16777,0,0,0,0.524,0.317,0.017
16778,0,0,0,1.454,1.045,0.027
16779,0,0.001,0,2.052,1.249,0.065
16780,0,0,0,1.84,0.668,0.081
16781,0,0,0,0.739,0.202,0.034
16782,0,0.001,0,0.924,0.314,0.039
16783,0,0,0,0.879,0.211,0.048
16784,0,0,0,0.148,0.033,0.008
16877,0,0,0,0.029,0.029,0
16878,0,0.004,0,0.001,0.007,0
16943,0,0.018,0,1.593,0.697,0.089
16944,0,0.058,0,4.899,2.172,0.327
16945,0,0.037,0,0.666,0.513,0.058
16946,0,0.042,0,2.242,0.593,0.139
16947,0,0.123,0,5.302,1.326,0.312
16948,0,0.042,0,1.369,1.015,0.082
16949,0,0.219,0,6.725,2.573,0.458
16950,0,0.217,0,6.776,2.519,0.399
16951,0,0.123,0,7.481,3.534,0.407
16952,0,0.145,0,7.39,4.187,0.406
16953,0,0.097,0,6.703,4.111,0.363
16954,0,0.148,0,7.231,3.609,0.404
16955,0,0.067,0,6.69,3.498,0.319
16956,0,0.004,0,1.168,0.966,0.044
16957,0,0.027,0,2.748,0.59,0.16
16958,0,0,0,0.765,0.168,0.043
16959,0,0,0,0.026,0.003,0.001
16961,0,0.026,0,1.278,0.372,0.087
16962,0,0.034,0,3.804,1.461,0.196
16963,0,0.02,0,4.698,1.401,0.252
16964,0,0.021,0,1.594,0.589,0.086
16965,0,0.056,0,6.045,1.439,0.352
16966,0,0.242,0,13.95,2.526,0.82
16967,0,0.003,0,4.93,0.918,0.304
17108,0,0,0,0.124,0.016,0.008
17119,0,0,0,0.026,0.016,0.002
17120,0,0.014,0,3.035,2.148,0.263
17121,0,0.11,0,12.732,3.431,0.849
17122,0,0.028,0,4.871,1.517,0.325
17123,0,0.001,0,0.946,0.709,0.081
17124,0,0.001,0,1.825,0.824,0.123
17125,0,0,0,2.641,0.473,0.149
17126,0,0,0,2.304,0.464,0.129
17127,0,0,0,0.474,0.177,0.033
17128,0,0,0,1.68,0.259,0.093
17129,0,0,0,1.55,0.371,0.095
17130,0,0,0,0.625,0.756,0.072
17131,0,0,0,0.01,0.001,0
17133,0,0,0,0.002,0,0
17134,0,0,0,1.172,0.182,0.074
17135,0,0,0,0.131,0.016,0.008
17412,0,0,0,0.111,0.023,0.006
17413,0,0,0,0.015,0.007,0.001
17414,0,0,0,0.156,0.022,0.007
17415,0,0.002,0,1.613,0.227,0.089
17416,0,0,0,1.46,0.326,0.07
17417,0,0,0,0.119,0.053,0.004
17418,0,0,0,0.062,0.026,0.002
17419,0,0,0,0.407,0.063,0.02
17420,0,0,0,0.136,0.04,0.004
17428,0,0,0,0.021,0.003,0.001
17429,0,0,0,0.063,0.031,0.001
17430,0,0,0,0.031,0.003,0.002
17436,0,0,0,0.007,0.009,0
17437,0,0,0,0.078,0.037,0.002
17447,0,0,0,0.01,0.01,0
17449,0,0,0,0.142,0.097,0.004
17450,0,0,0,0.136,0.09,0.003
17451,0,0,0,0.046,0.031,0
17452,0,0,0,0.085,0.045,0.002
17453,0,0,0,0.122,0.061,0.004
17454,0,0,0,0.062,0.038,0.002
17458,0,0,0,0.174,0.145,0.001
17459,0,0,0,0.29,0.149,0.011
17460,0,0,0,0.207,0.058,0.009
17461,0,0,0,0.048,0.027,0.002
17464,0,0,0,2.698,0.786,0.129
17465,0,0.013,0,10.084,4.367,0.39
17466,0,0.129,0,13.291,5.592,0.522
17467,0,0.027,0,5.794,2.785,0.217
17468,0,0.002,0,3.122,0.884,0.143
17469,0,0,0,0.158,0.064,0.007
17470,0,0,0,0.549,0.207,0.024
17471,0,0,0,0.992,0.476,0.039
17472,0,0.019,0,6.407,3.128,0.257
17473,0,0.038,0,11.476,5.14,0.451
17474,0,0.102,0,15.974,5.515,0.797
17475,0,0.03,0,6.986,4.298,0.291
17476,0,0.014,0,3.61,1.495,0.146
17477,0,0.013,0,3.935,2.303,0.121
17485,0,0,0,0.007,0.007,0
17496,0,0,0,0.003,0.003,0
17497,0,0.001,0,0.19,0.138,0.003
17498,0,0,0,0.049,0.021,0.002
17499,0,0,0,0.292,0.163,0.009
17500,0,0.01,0,0.954,0.419,0.044
17501,0,0.014,0,1.195,0.708,0.061
17502,0,0.042,0,2.709,0.571,0.161
17503,0,0.005,0,0.864,0.2,0.049
17504,0,0.007,0,0.54,0.203,0.03
17505,0,0.002,0,0.631,0.341,0.039
17506,0,0.002,0,0.401,0.204,0.026
17507,0,0.001,0,0.107,0.032,0.004
17508,0,0.009,0,0.269,0.059,0.015
17596,0,0,0,0.082,0.081,0
17597,0,0.003,0,0.106,0.076,0.002
17598,0,0.006,0,2.837,1.923,0.068
17599,0,0.049,0,0.938,0.474,0.038
17600,0,0.002,0,0.382,0.157,0.018
17601,0,0,0,0.012,0.002,0.001
17602,0,0,0,0.003,0.003,0
17668,0,0.113,0,6.625,3.333,0.464
17669,0,0.025,0,3.719,1.435,0.213
17670,0,0.059,0,4.68,2.617,0.313
17671,0,0.131,0,6.836,2.114,0.412
17672,0,0.138,0,8.426,1.919,0.484
17673,0,0.043,0,3.726,1.444,0.219
17674,0,0.004,0,0.426,0.409,0.021
17675,0,0.002,0,0.511,0.304,0.016
17676,0,0.013,0,0.313,0.153,0.015
17677,0,0,0,0.089,0.039,0.003
17682,0,0.014,0,1.83,0.376,0.11
17683,0,0.034,0,7.116,2,0.405
17684,0,0.048,0,6.612,2.437,0.387
17685,0,0.027,0,3.162,1.326,0.189
17686,0,0.101,0,10.774,2.843,0.66
17687,0,0.014,0,2.649,0.525,0.156
17688,0,0,0,0.004,0.035,0.002
17824,0,0,0,0.119,0.014,0.006
17825,0,0,0,0.008,0.001,0.001
17840,0,0.005,0,1.304,1.066,0.125
17841,0,0,0,0.102,0.019,0.007
17846,0,0.001,0,0.46,0.056,0.028
17847,0,0.016,0,5.404,1.24,0.321
17848,0,0.013,0,5.706,2.467,0.411
17849,0,0,0,3.845,1.854,0.248
17850,0,0,0,0.216,0.078,0.01
17851,0,0,0,0.947,0.371,0.067
17852,0,0,0,0.756,0.211,0.046
18121,0,0,0,0.005,0.004,0
18122,0,0,0,0.087,0.034,0.004
18125,0,0,0,0.008,0.008,0
18126,0,0,0,0.025,0.018,0
18127,0,0,0,0.666,0.224,0.03
18128,0,0.001,0,1.738,0.675,0.082
18133,0,0,0,0.001,0,0
18135,0,0,0,0.191,0.037,0.011
18136,0,0,0,0.013,0.005,0.001
18137,0,0,0,0.004,0.004,0
18138,0,0,0,0.031,0.015,0.001
18149,0,0,0,0.181,0.04,0.009
18150,0,0,0,0.163,0.036,0.008
18151,0,0,0,0.056,0.016,0.001
18152,0,0,0,0.062,0.014,0.004
18153,0,0,0,0.026,0.003,0.002
18169,0,0,0,0.005,0.001,0
18170,0,0,0,0.164,0.103,0.004
18171,0,0,0,0.057,0.05,0.001
18172,0,0,0,0.057,0.057,0
18178,0,0,0,0.26,0.249,0.001
18179,0,0,0,0.306,0.198,0.007
18180,0,0,0,0.271,0.093,0.01
18181,0,0,0,0.938,0.253,0.045
18183,0,0,0,0.003,0.003,0
18184,0,0,0,0.261,0.04,0.015
18185,0,0,0,1.045,0.396,0.042
18186,0,0.006,0,1.15,0.83,0.021
18187,0,0,0,0.339,0.231,0.006
18188,0,0.001,0,1.099,0.959,0.016
18189,0,0.007,0,2.099,0.917,0.082
18190,0,0.002,0,2.602,1.166,0.096
18191,0,0,0,2.069,1.078,0.067
18192,0,0.008,0,5.403,3.039,0.204
18193,0,0.007,0,3.576,1.414,0.144
18194,0,0.004,0,3.483,2.55,0.061
18195,0,0.001,0,2.276,1.324,0.061
18196,0,0,0,0.536,0.476,0.004
18197,0,0,0,0.22,0.16,0.004
18198,0,0,0,0.004,0.004,0
18199,0,0,0,0.02,0.018,0
18215,0,0,0,0.032,0.029,0.004
18216,0,0,0,0.195,0.158,0.002
18217,0,0.002,0,0.123,0.141,0.006
18218,0,0.011,0,0.093,0.048,0.003
18219,0,0.006,0,0.037,0.004,0.002
18221,0,0,0,0.001,0.003,0
18222,0,0.001,0,0.079,0.07,0.002
18223,0,0.001,0,0.078,0.03,0.003
18224,0,0.001,0,0.201,0.273,0.014
18225,0,0.001,0,0.344,0.2,0.017
18226,0,0.008,0,1.297,0.638,0.074
18227,0,0.065,0,2.804,1.487,0.156
18228,0,0.053,0,1.17,0.661,0.044
18229,0,0.008,0,0.347,0.108,0.014
18230,0,0,0,0,0,0
18314,0,0.001,0,0,0,0
18317,0,0.007,0,4.131,3.206,0.071
18318,0,0.071,0,3.418,1.816,0.129
18319,0,0.109,0,1.855,1.178,0.073
18320,0,0.033,0,1.996,0.676,0.091
18321,0,0.011,0,1.923,0.692,0.082
18322,0,0,0,1.075,0.356,0.053
18323,0,0,0,0.021,0.018,0
18324,0,0,0,0.055,0.034,0.002
18388,0,0.001,0,0.143,0.116,0.008
18389,0,0.045,0,4.797,2.337,0.318
18390,0,0.006,0,0.941,0.625,0.063
18391,0,0.005,0,1.142,0.637,0.052
18392,0,0.001,0,0.172,0.146,0.008
18393,0,0,0,0.019,0.004,0.001
18402,0,0,0,0.133,0.04,0.006
18403,0,0,0,0.772,0.159,0.04
18405,0,0,0,0.219,0.027,0.012
18406,0,0.003,0,3.181,1.078,0.186
18407,0,0,0,1.016,0.347,0.048
18525,0,0,0,0.01,0.001,0
18538,0,0,0,0.231,0.053,0.011
18539,0,0,0,2.715,0.74,0.177
18540,0,0,0,1.059,0.231,0.068
18552,0,0,0,0.454,0.099,0.029
18553,0,0,0,1.372,0.183,0.081
18554,0,0,0,0.06,0.007,0.003
18563,0,0.003,0,2.338,0.675,0.158
18564,0,0.038,0,15.016,3.955,0.995
18565,0,0.479,0,25.307,5.296,1.562
18566,0,0.304,0,26.804,8.244,1.723
18567,0,0.134,0,16.725,6.92,1.129
18568,0,0.035,0,14.4,7.053,0.979
18569,0,0.029,0,10.557,3.586,0.635
18570,0,0.011,0,12.172,3.896,0.688
18571,0,0.007,0,11.959,3.958,0.653
18572,0,0.001,0,4.713,1.814,0.299
18573,0,0.001,0,2.237,0.573,0.135
18574,0,0,0,0.241,0.17,0.018
18575,0,0,0,0.002,0.002,0
18576,0,0,0,0.016,0.003,0.001
18838,0,0,0,0.288,0.124,0.011
18839,0,0.001,0,3.862,1.522,0.196
18840,0,0.001,0,5.134,1.469,0.254
18841,0,0.001,0,2.006,0.417,0.101
18842,0,0.002,0,2.759,0.981,0.12
18843,0,0,0,0.72,0.305,0.023
18844,0,0.001,0,0.556,0.238,0.02
18845,0,0.018,0,4.709,1.65,0.207
18846,0,0.054,0,10.193,3.711,0.535
18847,0,0.02,0,6.318,2.909,0.269
18848,0,0.013,0,3.627,1.824,0.165
18849,0,0,0,1.057,0.297,0.066
18851,0,0.03,0,2.81,0.549,0.168
18852,0,0.019,0,4.185,0.724,0.245
18853,0,0.004,0,1.205,0.159,0.072
18861,0,0,0,0.258,0.119,0.009
18862,0,0,0,0.296,0.212,0.005
18863,0,0.001,0,0.619,0.303,0.021
18871,0,0,0,0.042,0.009,0.002
18872,0,0,0,0.269,0.116,0.01
18873,0,0,0,0.102,0.018,0.004
18878,0,0,0,0.038,0.004,0.002
18879,0,0,0,0.039,0.013,0.002
18880,0,0,0,0.002,0.002,0
18892,0,0,0,0.109,0.033,0.005
18893,0,0.001,0,0.241,0.116,0.008
18894,0,0.001,0,1.066,0.573,0.035
18895,0,0,0,0.084,0.013,0.005
18896,0,0.001,0,0.109,0.026,0.005
18897,0,0.001,0,0.774,0.558,0.02
18898,0,0.001,0,0.929,0.577,0.023
18899,0,0,0,0.001,0.001,0
18900,0,0,0,0.067,0.033,0.002
18902,0,0,0,0.135,0.116,0.001
18903,0,0.005,0,1.475,0.658,0.053
18904,0,0,0,0.23,0.176,0.003
18905,0,0.004,0,2.263,1.637,0.04
18906,0,0,0,0.812,0.573,0.015
18907,0,0,0,0.521,0.432,0.006
18908,0,0,0,0.001,0.001,0
18911,0,0,0,0.014,0.013,0
18912,0,0,0,0.112,0.106,0
18913,0,0,0,0.06,0.052,0.001
18914,0,0,0,0.064,0.038,0.001
18915,0,0.001,0,0.066,0.046,0.001
18916,0,0,0,0.031,0.021,0.001
18917,0,0,0,0.044,0.042,0
18918,0,0.01,0,0.241,0.106,0.009
18938,0,0.005,0,0.824,0.132,0.047
18939,0,0.036,0,2.271,0.726,0.136
18940,0,0.001,0,0.222,0.025,0.013
18941,0,0.007,0,1.782,0.552,0.089
18942,0,0.001,0,0.416,0.15,0.023
18943,0,0.015,0,1.864,0.611,0.116
18944,0,0.005,0,0.87,0.212,0.046
18946,0,0,0,0.046,0.046,0
19034,0,0.019,0,0.747,0.596,0.025
19035,0,0,0,0.019,0.002,0.001
19036,0,0.04,0,2.732,1.09,0.131
19037,0,0.071,0,2.361,1.2,0.104
19038,0,0.024,0,0.452,0.304,0.022
19039,0,0.024,0,0.307,0.178,0.011
19040,0,0,0,0.334,0.116,0.015
19041,0,0,0,0.488,0.261,0.018
19042,0,0,0,2.452,0.905,0.1
19043,0,0.002,0,1.915,0.814,0.08
19044,0,0,0,0.943,0.395,0.039
19112,0,0.025,0,2.442,1.055,0.123
19113,0,0.002,0,0.719,0.403,0.053
19114,0,0.002,0,0.796,0.162,0.048
19115,0,0,0,0,0,0
19130,0,0,0,0.051,0.006,0.003
19131,0,0,0,0.313,0.072,0.018
19212,0,0,0,0.012,0.002,0.001
19215,0,0,0,0.002,0.002,0
19216,0,0,0,0.042,0.009,0.002
19217,0,0,0,0.013,0.009,0
19218,0,0,0,0.193,0.039,0.009
19269,0,0,0,0.059,0.034,0.005
19270,0,0,0,0.132,0.097,0.011
19271,0,0,0,0.472,0.426,0.047
19272,0,0,0,0.533,0.151,0.033
19273,0,0,0,1.378,0.378,0.093
19275,0,0.001,0,0.703,0.087,0.043
19276,0,0.002,0,0.242,0.339,0.028
19282,0,0.001,0,0.214,0.039,0.012
19283,0,0.548,0,33.356,6.257,1.926
19284,0,0.771,0,46.164,6.98,2.711
19285,0,0.703,0,46.949,7.026,2.764
19286,0,0.264,0,26.656,7.547,1.634
19287,0,0.048,0,7.439,3.064,0.48
19288,0,0.048,0,8.772,3.456,0.564
19289,0,0.092,0,16.846,4.079,0.991
19290,0,0.147,0,24.65,4.71,1.408
19291,0,0.098,0,12.603,2.741,0.729
19292,0,0.021,0,4.834,1.731,0.262
19293,0,0.017,0,5.759,1.865,0.3
19294,0,0.012,0,9.383,3.172,0.458
