m30,BTR1,FET1,FDT1,SHR1,GRS1,CRP1,AVE1
44462,23852,790,8,4745,1129,86,2387.9
44463,19748,1071,8,4745,1129,102,3011.9
44464,14619,1504,8,4745,1129,86,2770.4
44465,14362,1529,8,4745,1129,90,2391
44466,14362,1529,8,4745,1129,59,2013.6
44467,14362,1529,8,4745,1129,90,1740
44468,14362,1529,8,4745,1129,86,1634
44469,14362,1529,8,4745,1129,86,1662
44470,14362,1529,8,4745,1129,82,1794.8
44471,14362,1529,8,4745,1129,86,1783.5
44472,14362,1529,8,4745,1129,86,1729.8
44473,14362,1529,8,4745,1129,86,1743.1
44474,14362,1529,8,4745,1129,86,1591.3
44475,14362,1529,8,4745,1129,86,1593.4
44476,14362,1529,8,4745,1129,86,1616.5
44477,14362,1529,8,4745,1129,86,1609.5
44478,14362,1529,8,4745,1129,86,1529.1
44479,14362,1529,8,4745,1129,86,1609.1
44480,14362,1529,8,4745,1129,90,1583.3
44481,14362,1529,8,4745,1129,86,1619.5
44482,14362,1529,8,4745,1129,86,1636.5
44483,14362,1529,8,4745,1129,75,1714.7
44484,14362,1529,8,4745,1129,75,1740.4
44485,14362,1529,8,4745,1129,67,1953.4
44486,14362,1529,8,4745,1129,59,1893.9
44487,14362,1529,8,4745,1129,51,1917.1
44488,14362,1529,8,4745,1129,59,1899.2
44489,14362,1529,8,4745,1129,51,2013.2
44490,14362,1529,8,4745,1129,43,2190.4
44491,14362,1529,8,4745,1129,24,2296.6
44492,14362,1529,8,4745,1129,12,2211.1
44493,14362,1529,8,4745,1129,12,2005.3
44494,14362,1529,8,4745,1129,12,2025.6
44495,14362,1529,8,4745,1129,12,2201.3
44496,14362,1529,8,4745,1129,12,2122.3
44497,14362,1529,8,4745,1129,12,2472.1
44498,14362,1529,8,4745,1129,12,2185.5
44499,14362,1529,8,4745,1129,12,2117.2
44500,14362,1529,8,4745,1129,12,2118.8
44501,14362,1529,8,4745,1129,12,2083.1
44502,14362,1529,8,4745,1129,12,1896.1
44503,14362,1529,8,4745,1129,12,1858.6
44504,14362,1529,8,4745,1129,12,1884.7
44505,14362,1529,8,4745,1129,12,1861.2
44506,14362,1529,8,4745,1129,12,1841
44507,14362,1529,8,4745,1129,12,2359.7
44508,14362,1529,8,4745,1129,12,2708
44509,14362,1529,8,4745,1129,12,3129.1
44510,13336,1173,86,5642,1129,12,3943
44511,13208,1198,102,5514,1129,12,3653.7
44512,12695,1147,110,5642,1129,12,3552.6
44513,12952,1325,47,5386,1129,12,2961.9
44514,14362,1529,8,4745,1129,12,2557.3
44515,14362,1529,8,4745,1129,12,2280.1
44516,14362,1529,8,4745,1129,12,1966.2
44517,14362,1529,8,4745,1129,12,1811.1
44518,14362,1529,8,4745,1129,12,1745.3
44519,14362,1529,8,4745,1129,12,1910.4
44520,14362,1529,8,4745,1129,12,1901.2
44521,14362,1529,8,4745,1129,12,2014.4
44522,14362,1529,8,4745,1129,12,2085.5
44523,14362,1529,8,4745,1129,12,2005.2
44524,14362,1529,8,4745,1129,12,1828
44525,14362,1529,8,4745,1129,12,1781
44526,14362,1529,8,4745,1129,12,1812.8
44527,14362,1529,8,4745,1129,12,1956.1
44528,14362,1529,8,4745,1129,12,1989.6
44529,14362,1529,8,4745,1129,12,1790.6
44530,14362,1529,8,4745,1129,12,1649.5
44531,14362,1529,8,4745,1129,12,1664
44532,14362,1529,8,4745,1129,12,1730.6
44533,14362,1529,8,4745,1129,12,1628.3
44534,14362,1529,8,4745,1129,12,1820.2
44535,14362,1529,8,4745,1129,12,1701.1
44536,14362,1529,8,4745,1129,12,1776.8
44537,14362,1529,8,4745,1129,12,1894.9
44538,14362,1529,8,4745,1129,12,1877.5
44539,14362,1529,8,4745,1129,12,1821.8
44540,128,1529,8,4745,1129,12,1763.3
44541,128,1529,8,4745,1129,12,1750.7
44542,14362,1529,8,4745,1129,12,1991.3
44543,14362,1529,8,4745,1129,12,2173.1
44544,14362,1529,8,4745,1129,12,2019.8
44545,14362,1529,8,4745,1129,12,2137.3
44546,14362,1529,8,4745,1129,12,1900.7
44547,14362,1529,8,4745,1129,12,1914.3
44548,14362,1529,8,4745,1129,12,1878.8
44549,14362,1529,8,4745,1129,12,1817.6
44550,14362,1529,8,4745,1129,12,1773.2
44551,14362,1529,8,4745,1129,12,1658.5
44552,14362,1529,8,4745,1129,12,1811.2
44553,14362,1529,8,4745,1129,12,1978.5
44554,128,1529,8,4745,1129,12,2158.7
44555,14362,1529,8,4745,1129,12,2293.6
44556,14362,1529,8,4745,1129,12,2669.5
44557,14362,1529,8,4745,1129,12,2483.6
44558,14362,1529,8,4745,1129,12,2455.9
44559,14362,1529,8,4745,1129,12,2962.1
44560,14234,1478,31,4873,1129,12,3214.4
44561,12182,867,204,6284,1129,12,3276.7
44562,14362,1453,24,4873,1129,12,2313.4
44563,14362,1529,8,4745,1129,12,2740.9
44564,6796,561,8,4745,1129,12,2466.5
44565,4745,229,8,4360,1082,12,1736.1
44566,4745,229,8,3975,984,12,939.4
44567,128,255,8,4488,1064,12,773.3
44568,128,255,8,4745,1125,12,734.7
44569,128,255,8,4616,1092,12,595.6
44570,128,255,8,4488,1068,12,582.5
44571,4745,255,8,4745,1106,12,382.8
44572,11669,612,196,5899,1073,12,907.3
44573,9489,586,212,5386,828,12,1580.1
44574,9746,714,235,5642,960,12,629.5
44575,11926,765,235,6412,1125,12,1425.5
44576,11926,714,235,5899,988,12,1455.4
44577,6027,408,47,5386,1120,12,873.8
44578,4745,255,8,4616,1096,12,1004.1
44579,0,204,8,2821,626,12,67.3
44581,128,25,8,2308,541,4,1.2
44582,4745,153,8,1924,664,12,130.3
44583,4745,255,8,4745,1129,12,395.4
44584,4745,255,8,4616,1092,12,1401.3
44585,128,255,8,4616,1092,12,1897.4
44586,4745,255,8,4745,1129,12,2712.7
44587,4745,255,8,4616,1096,12,2199.1
44588,128,255,8,4616,1096,12,2150.4
44589,4745,255,8,4488,1078,12,2197.1
44590,256,255,0,4616,1078,12,1966.3
44591,0,204,0,3591,833,12,405.4
44592,128,25,8,0,0,12,0
44600,128,2294,8,3975,1129,12,267.9
44601,11926,1555,227,5514,1129,12,1986.2
44602,11926,765,235,6412,1129,12,3713.8
44603,11926,765,235,6412,1129,12,3989.6
44604,128,765,8,6412,1129,12,2744.3
44605,128,841,235,6284,1129,12,3943.3
44606,10387,1657,0,4488,1064,12,3284.1
44607,8848,1657,8,2821,842,12,746.9
44608,128,2294,8,3591,1021,12,28.7
44609,10387,2294,8,3975,1129,12,661
44610,4873,1351,8,2052,541,12,240.9
44676,128,5455,8,5899,1078,12,63
44677,128,5710,8,6284,1111,12,1552.6
44678,128,4894,8,6284,1125,12,1791.3
44679,17953,306,235,6284,1125,12,692.8
44680,17953,153,235,5899,1087,12,272
44681,10002,357,235,6155,1096,12,687.9
44682,128,0,8,10644,1120,12,3625.5
44683,128,280,8,11028,1111,12,2473.7
44684,128,25,8,11028,1101,12,2743.6
44685,128,76,8,11156,1129,12,2320.4
44686,128,51,8,11028,1106,12,2076.9
44687,128,25,8,11156,1129,12,3889.5
44688,128,0,8,11156,1129,12,2867.5
44689,128,0,8,11156,1129,12,2553.4
44690,128,0,8,7309,1129,12,2582.4
44691,6796,306,8,6155,1129,12,3004.9
44692,6796,4665,8,5514,1129,12,3560.7
44693,6284,3110,8,5514,1120,12,1709.2
44694,128,1886,8,5386,1078,12,205.3
44695,128,178,8,3334,593,4,22.3
44696,0,204,0,4232,809,12,49.3
44724,128,51,8,5899,621,12,20.8
44725,128,51,8,7053,762,12,595.1
44726,128,25,8,7822,894,12,197.8
44727,128,204,8,6284,904,12,686.3
44728,128,102,8,6284,908,12,1413.2
44729,22185,204,8,9618,1059,12,3039.7
44730,23595,1147,39,8592,1073,12,2092.4
44731,0,714,8,7951,969,12,1668.1
44732,128,688,8,3975,391,12,51.8
44733,9105,1886,235,8592,1016,12,2059.4
44734,30776,2625,8,9233,1129,12,3902.6
44735,30776,2575,8,8720,1129,12,4153.3
44736,30776,2575,8,8720,1129,12,3988
44737,30776,2702,8,8720,1129,12,3549.1
44738,30776,2625,8,8720,1129,12,4510.2
44739,30776,2575,8,8720,1129,12,4765.4
44740,30776,2575,8,8720,1129,12,4093
44741,30776,2575,8,8720,1129,12,4162.8
44742,30776,2575,8,8720,1129,12,4778.7
44743,30776,2575,8,8720,1129,12,4677.3
44744,30776,2575,8,8720,1129,12,4327.1
44745,30776,2575,8,8720,1129,12,4046.4
44746,30776,2575,8,8720,1129,12,4105.8
44747,30776,2575,8,8720,1129,12,3886.5
44748,30776,2575,8,8720,1129,12,4823.3
44749,30776,2575,8,8720,1129,12,3848
44750,30776,2575,8,8720,1129,12,3912.5
44751,30776,2906,8,8720,1129,12,3710.2
44752,30776,3951,8,8720,1129,12,4735.6
44753,30776,4690,8,8720,1129,12,6265.4
44754,30776,4741,8,8720,1129,12,6295.5
44755,30776,4741,8,8720,1129,12,6351.8
44756,30776,4741,8,8720,1129,12,7077.9
44757,30776,4741,8,8720,1129,12,6926.6
44758,30776,4741,8,8720,1129,12,6992.3
44759,30776,4741,8,8720,1129,12,6238
44760,30776,4741,8,8720,1129,12,6965.1
44761,30776,4741,8,8720,1129,12,6083.5
44762,30776,4741,8,8720,1129,12,6538.1
44763,30776,4741,8,8720,1129,12,7215
44764,30776,4741,8,8720,1125,12,7332.3
44765,30135,4639,110,10900,941,12,7061.7
44766,28725,4614,314,14106,631,12,7321.8
44767,27955,4461,463,16286,541,12,6866.9
44768,27186,4359,573,15773,372,12,7110.5
44769,27186,4435,580,11413,800,12,6748.9
44770,27442,4563,541,11028,908,12,6048.4
44771,27955,4512,455,12439,809,12,5722.5
44772,29751,4308,188,11285,913,12,6095.7
44773,30776,4129,16,8848,1120,12,6541.9
44774,30776,4078,8,8720,1129,12,5633.6
44775,30776,4078,8,8720,1129,12,6641.3
44776,30776,4078,8,8720,1129,12,3337.4
44777,30776,4078,8,8720,1129,12,3542.7
44778,27955,4231,8,7951,984,12,4082.8
44779,25647,4308,8,7438,969,12,1849.8
44780,30648,4078,8,7566,1092,12,3378.4
44781,30776,4129,8,7951,1125,12,4551.6
44782,30776,4129,8,7951,1129,12,3885.9
44783,30776,4129,8,7951,1129,12,4333.9
44784,30776,4129,8,7951,1129,12,4079.6
44785,30776,4129,8,7951,1129,12,4473.8
44786,30776,4129,8,7951,1129,12,4165
44787,30776,4129,8,7951,1129,12,4164.8
44788,30776,4129,8,7951,1129,12,4502
44789,30776,4129,8,7951,1129,12,4036.7
44790,30776,4129,8,7951,1129,12,4412.9
44791,30776,4129,8,7951,1129,12,3878.7
44792,30776,4129,8,7951,1129,12,3656.1
44793,30776,4690,8,8976,1129,12,3967.5
44794,30776,5098,8,9618,1129,12,4450.4
44795,30776,5098,8,9618,1129,12,4665.8
44796,30776,5098,8,9618,1129,12,4735.3
44797,30776,5098,8,9618,1129,12,3707.2
44798,30776,5098,8,9618,1129,12,4607
44799,30776,5098,8,9618,1129,12,4457.6
44800,30776,5098,8,9618,1129,12,5339.6
44801,30776,5098,8,9618,1129,12,4538.4
44802,30776,5098,8,9618,1129,12,3387.6
44803,30776,5098,8,9618,1129,12,4708.1
44804,30776,5098,8,9618,1129,12,4202.9
44805,30776,5098,8,9618,1129,12,4897.8
44806,30776,5098,8,9618,1129,12,5420.4
44807,30776,5098,8,9618,1129,12,5168.7
44808,30776,5098,8,9618,1129,12,5775
44809,28981,4971,8,9361,1129,12,6125.2
44810,27314,4461,16,8464,1129,12,5740.9
44811,26032,4512,24,9105,1125,12,5558.7
44812,25647,4129,8,7694,1106,12,2043.4
44813,25647,4206,8,7951,1129,12,2647.1
44814,25647,4206,8,7822,1115,12,1681
44843,128,2727,8,2949,273,12,127.4
44844,128,6041,8,13593,1082,12,6269.9
44845,128,6194,8,14362,1129,12,7965.2
44846,128,6194,8,14362,1129,12,7707.8
44847,30776,6194,235,14362,1129,12,7735.5
44848,30776,6194,235,14362,1129,12,6859.3
44849,30776,6194,235,14362,1129,12,6947.6
44850,30776,6194,235,14362,1129,12,7013.1
44851,30776,6194,235,14362,1129,12,7625.4
44852,30776,6194,235,14362,1129,12,6786.7
44853,30776,6194,235,14362,1129,12,7240.7
44854,30776,6194,235,14362,1129,12,7418.2
44855,30776,6194,235,14362,1129,12,6811
44856,128,6194,8,14362,1129,12,7311.3
44857,30776,6194,235,14362,1129,12,7391.4
44858,128,6194,8,14362,1129,12,7651.2
44859,128,6194,8,14362,1129,12,8361.9
44860,128,4945,8,10900,1125,12,6280.1
44861,128,3059,8,5771,1101,12,2645.1
44862,128,3008,8,5771,1087,12,2828.4
44863,128,2957,8,5386,1111,12,2438.6
44864,128,2957,8,5258,1096,12,819.2
44865,128,2957,8,4360,734,12,30.4
44867,128,2931,8,5386,1101,12,316.2
44868,10259,2931,8,5386,1101,12,1952
44869,10259,2855,8,5258,1087,12,2792
44870,9489,2498,118,7181,1125,12,3957.2
44871,8976,1810,235,9489,1129,12,3612.7
44872,8976,1784,235,9618,1129,12,3196.4
44873,128,1784,8,9618,1129,12,2833.8
44874,128,1657,8,9233,1096,12,2683.3
44875,1539,1529,94,7438,951,12,280.8
44988,128,0,8,0,0,12,0
44990,9233,433,24,2180,127,12,16.7
44991,12824,663,31,5129,301,12,199
44992,13465,637,39,4873,296,12,141
44993,13208,663,39,4745,311,12,195
44994,13080,663,39,4745,311,12,553.6
44995,5001,357,16,4488,296,12,175.7
45012,6284,459,39,3591,1026,12,1196.5
45013,6412,586,55,3847,1101,12,1767.8
45014,6412,765,196,3975,1129,12,2285.6
45015,15901,688,94,4232,1092,12,2695.4
45016,13721,612,110,4745,1120,12,2228.6
45017,16414,484,71,6155,1021,12,2432.7
45018,20774,484,24,7181,885,12,2150.2
45019,20005,561,24,5386,565,12,760.6
45020,21031,612,31,5001,574,12,142.6
45021,17055,178,8,2180,367,12,5.9
45022,128,25,8,1154,80,4,0.3
45023,23467,739,39,5129,353,12,1264.6
45024,23980,765,39,5514,376,12,1948.3
45025,23211,739,39,5386,372,12,1950.7
45026,18081,612,31,4360,301,12,293.6
45027,20646,663,31,5129,353,12,594.8
45028,20005,714,39,5386,367,12,1054.2
45029,23980,765,39,5514,376,12,1722.2
45030,23980,765,39,5514,376,12,1146.6
45031,23980,765,39,5514,376,12,1940.3
45032,23980,765,39,5514,376,12,1746.7
45033,23980,765,39,5386,372,12,2016.5
45034,23852,765,39,5386,367,12,2272.6
45035,23595,739,39,5001,339,12,1184.6
45036,20133,586,31,3719,254,12,451.6
45037,11926,204,16,1282,85,4,33.6
45044,23980,765,39,5514,376,4,5.3
45045,23467,714,39,4745,325,12,626.5
45046,23595,739,39,5129,348,12,2671
45047,23339,688,39,4616,315,12,857
45048,23724,739,39,5258,362,12,3902.4
45049,23980,765,39,5514,376,12,4189.4
45050,23980,765,39,5514,376,12,4647.2
45051,23980,765,39,5514,376,12,4815.7
45052,23980,765,39,5514,376,12,4491.2
45053,23980,765,39,5514,376,12,5327.6
45054,23980,765,39,5514,376,12,4144.8
45055,23980,765,39,5514,376,12,998.8
45056,23980,765,39,5514,376,12,1978
45057,22185,637,31,6412,640,12,5379.2
45058,22441,663,31,6284,616,12,4215.6
45059,20646,433,16,7053,871,12,3522.8
45060,22185,535,24,6540,692,12,3377.4
45061,20646,433,16,7053,809,12,4302.6
45062,20133,357,16,7438,946,12,4231.8
45063,19364,280,8,7822,1059,12,4880.7
45064,21287,535,24,6925,805,12,3861.5
45065,19492,331,8,7566,1007,12,3064.1
45066,19492,255,8,7951,1120,12,3508.4
45067,19492,280,8,7822,1087,12,3494.2
45068,19876,306,16,7566,998,12,3295.6
45069,19235,255,8,7951,1129,12,3051.9
45070,19235,255,8,7951,1129,12,3309.7
45071,19235,255,8,7951,1129,12,3637.2
45072,20389,382,16,7566,988,12,3467.1
45073,19876,306,16,7694,1054,12,2992.1
45074,19235,255,8,7951,1129,12,3491.6
45075,19235,255,8,7951,1129,12,3137
45076,19235,255,8,7951,1129,12,2883
45077,19235,255,8,7951,1129,12,1078.9
45078,19235,255,8,7951,1129,12,3589
45079,19235,255,8,7951,1129,12,4177.4
45080,19235,255,8,7951,1129,12,3827.5
45081,19235,255,8,7951,1129,12,3761.5
45082,19235,255,8,7951,1129,12,4321.7
45083,19235,255,8,7951,1129,12,4287.1
45084,19235,255,8,7951,1129,12,4438.5
45085,19235,255,8,7951,1129,12,4620.2
45086,19235,255,8,7951,1129,12,4931.5
45087,19235,255,8,7951,1129,12,5815.8
45088,19235,255,8,7951,1129,12,6907.6
45089,19235,255,8,7951,1129,12,6510.2
45090,19235,255,8,7951,1129,12,5286.9
45091,19235,255,8,7951,1129,12,5551.8
45092,19235,255,8,7951,1129,12,5812.3
45093,19235,255,8,7951,1129,12,5871.3
45094,19235,255,8,7951,1129,12,4208.3
45095,19235,255,8,7951,1129,12,3622.8
45096,19235,255,8,7951,1129,12,3438.9
45097,19235,255,8,7951,1129,12,2574.3
45098,19235,255,8,7951,1129,12,2384.6
45099,19235,255,8,7951,1129,12,2755
45100,19235,255,8,7951,1129,12,2405
45101,19235,255,8,7951,1129,12,2437.9
45102,20902,331,16,7694,1068,12,2924
45103,21544,433,24,7053,856,12,4285.2
45104,19364,280,8,7951,1111,12,4021.6
45105,19235,255,8,7951,1129,12,3178.8
45106,19235,255,8,7951,1129,12,3497.7
45107,19235,255,8,7951,1129,12,3047.4
45108,19235,255,8,7951,1129,12,2601.4
45109,19235,255,8,7951,1129,12,3003.4
45110,19235,255,8,7951,1129,12,3089.6
45111,19235,255,8,7951,1129,12,3459.3
45112,19235,255,8,7951,1129,12,3735.7
45113,19235,255,8,7951,1129,12,2105.5
45114,19107,280,8,7822,1129,12,3807
45115,15645,663,8,5386,1129,12,3128.3
45116,14362,765,8,4745,1129,12,1924.6
45117,14362,765,8,4745,1129,12,1898.1
45118,14362,765,8,4745,1129,12,1781.5
45119,14362,765,8,4745,1129,12,2431.5
45120,18081,765,8,4745,1129,12,3300.9
45121,23980,765,8,4745,1129,12,4468.6
45122,23980,765,8,4745,1129,12,3829.5
45123,23980,765,8,4745,1129,12,4001.3
45124,23980,765,8,4745,1129,12,4564.2
45125,23980,765,8,4745,1129,12,4483.3
45126,23980,765,8,4745,1129,12,4378.3
45127,23980,765,8,4745,1129,12,4323.7
45128,23980,765,8,4745,1129,12,4491.5
45129,23980,765,8,4745,1129,12,4910.8
45130,23980,765,8,4745,1129,12,4374.7
45131,23980,765,8,4745,1129,12,4170.8
45132,23980,765,8,4745,1129,12,3753.8
45133,23980,765,8,4745,1129,12,3810.7
45134,23980,765,8,4745,1129,12,3553
45135,23980,765,8,4745,1129,12,3113
45136,23980,765,8,4745,1129,12,3362.6
45137,23980,765,8,4745,1129,12,3484.5
45138,23980,765,8,4745,1129,12,4011.9
45139,23980,765,8,4745,1129,12,5027
45140,23980,765,8,4745,1129,12,4121.9
45141,23980,765,8,4745,1129,12,3181.9
45142,23980,765,8,4745,1129,12,2872.8
45143,23980,765,8,4745,1129,12,2579.4
45144,23980,765,8,4745,1129,12,2491.3
45145,23980,765,8,4745,1129,12,2891.8
45146,23980,765,8,4745,1129,12,2809.2
45147,23980,765,8,4745,1129,12,2813.4
45148,23980,765,8,4745,1129,12,2928.1
45149,23980,765,8,4745,1129,12,2846.3
45150,23980,765,8,4745,1129,12,2279.4
45151,23980,765,8,4745,1129,12,2154.3
45152,23980,765,8,4745,1129,12,2087.6
45153,23980,765,8,4745,1129,12,2345.7
45154,23980,765,8,4745,1129,12,2622.1
45155,23980,765,8,4745,1129,12,1972.6
45156,23980,765,8,4745,1129,12,2048
45157,23980,765,8,4745,1129,12,2115
45158,23980,765,8,4745,1129,12,1854.6
45159,23980,765,8,4745,1129,12,2079.3
45160,23980,765,8,4745,1129,12,2347.5
45161,23980,765,8,4745,1129,12,2354
45162,23980,765,8,4745,1129,12,2805.8
45163,23980,765,8,4745,1129,12,2837.5
45164,23980,765,8,4745,1129,12,2219.7
45165,23980,765,8,4745,1129,12,2340.1
45166,23980,765,8,4745,1129,12,2516.3
45167,23980,765,8,4745,1129,12,2750.6
45168,23980,765,8,4745,1129,12,2695.8
45169,23980,765,8,4745,1129,12,2709.7
45170,23980,765,8,4745,1129,12,2634.4
45171,23980,765,8,4745,1129,12,2417
45172,23980,765,8,4745,1129,12,2377.4
45173,23980,765,8,4745,1129,12,2302.6
45174,23980,765,8,4745,1129,12,2472.7
45175,23980,765,8,4745,1129,12,2316.6
45176,23980,765,8,4745,1129,24,2170.4
45177,23980,765,8,4745,1129,43,1987.7
45178,23980,765,8,4745,1129,71,3928.7
45179,23980,765,8,4745,1129,67,3543.7
45180,23980,765,8,4745,1129,67,3439.4
45181,23980,765,8,4745,1129,90,2691.7
45182,23980,765,8,4745,1129,86,3050.8
45183,23980,765,8,4745,1129,86,4256.6
45184,23211,892,8,4745,1129,82,3794
45185,14362,1529,8,4745,1129,86,2194.8
45186,14362,1529,8,4745,1129,86,2219.7
45187,14362,1529,8,4745,1129,86,1746.6
45188,14362,1529,8,4745,1129,86,1683.2
45189,14362,1529,8,4745,1129,90,1809.6
45190,14362,1529,8,4745,1129,86,1776.9
45191,14362,1529,8,4745,1129,90,1737.6
45192,14362,1529,8,4745,1129,78,1906.3
45193,14362,1529,8,4745,1129,86,1699.7
45194,14362,1529,8,4745,1129,78,1878
45195,14362,1529,8,4745,1129,82,1841.3
45196,14362,1529,8,4745,1129,86,1809.3
45197,14362,1529,8,4745,1129,82,1809.2
45198,14362,1529,8,4745,1129,86,2030
45199,14362,1529,8,4745,1129,78,1727.3
45200,14362,1529,8,4745,1129,82,1554
45201,14362,1529,8,4745,1129,75,1581.6
45202,14362,1529,8,4745,1129,82,1760.3
45203,14362,1529,8,4745,1129,75,1569.2
45204,14362,1529,8,4745,1129,71,1551.4
45205,14362,1529,8,4745,1129,47,1681.2
45206,14362,1529,8,4745,1129,24,1709.3
45207,14362,1529,8,4745,1129,24,2186.1
45208,14362,1529,8,4745,1129,31,1902
45209,14362,1529,8,4745,1129,39,1995.5
45210,14362,1529,8,4745,1129,31,2100.8
45211,14362,1529,8,4745,1129,16,2226.7
45212,14362,1529,8,4745,1129,12,2041.1
45213,14362,1529,8,4745,1129,12,1973.5
45214,14362,1529,8,4745,1129,12,1940.4
45215,14362,1529,8,4745,1129,12,2029.1
45216,14362,1529,8,4745,1129,12,1940.4
45217,14362,1529,8,4745,1129,12,1948.7
45218,14362,1529,8,4745,1129,12,2143.5
45219,14362,1529,8,4745,1129,12,1917.4
45220,14362,1529,8,4745,1129,12,1860.4
45221,14362,1529,8,4745,1129,12,1932
45222,14362,1529,8,4745,1129,12,1729.4
45223,14362,1529,8,4745,1129,12,1635.2
45224,14362,1478,8,5001,1129,12,1680.8
45225,14106,1427,39,5129,1129,12,1925.8
45226,14362,1529,8,4745,1129,12,2095.5
45227,14362,1529,8,4745,1129,12,2481
45228,14362,1529,8,4745,1129,12,2737
45229,14362,1529,8,4745,1129,12,3268.9
45230,14234,1427,8,5129,1129,12,3413.2
45231,14234,1427,24,5001,1129,12,3371.6
45232,14106,1453,16,4873,1129,12,2820.9
45233,14362,1529,8,4745,1129,12,2460
45234,14362,1529,8,4745,1129,12,2456.3
45235,14362,1529,8,4745,1129,12,2240.7
45236,14362,1529,8,4745,1129,12,2072.1
45237,14362,1529,8,4745,1129,12,2071.6
45238,14362,1529,8,4745,1129,12,1968.1
45239,14362,1529,8,4745,1129,12,1998.9
45240,14362,1529,8,4745,1129,12,1940.5
45241,14362,1529,8,4745,1129,12,1994.5
45242,14362,1529,8,4745,1129,12,1959.1
45243,14362,1529,8,4745,1129,12,1965.4
45244,14362,1529,8,4745,1129,12,1989.9
45245,14362,1529,8,4745,1129,12,1864.3
45246,14362,1529,8,4745,1129,12,2130.4
45247,14362,1529,8,4745,1129,12,2115.6
45248,128,1529,8,4745,1129,12,1944.2
45249,14362,1529,8,4745,1129,12,1776.8
45250,14362,1529,8,4745,1129,12,1867.9
45251,14362,1529,8,4745,1129,12,1812.6
45252,14362,1478,24,4873,1129,12,2111.7
45253,14362,1529,8,4745,1129,12,2244.2
45254,14362,1529,8,4745,1129,12,1939.2
45255,14362,1529,8,4745,1129,12,1844.2
45256,14362,1529,8,4745,1129,12,1879.7
45257,14362,1529,8,4745,1129,12,1869.3
45258,14362,1529,8,4745,1129,12,1771.1
45259,14362,1529,8,4745,1129,12,1813.9
45260,14362,1529,8,4745,1129,12,1736.4
45261,14362,1529,8,4745,1129,12,1862.5
45262,14362,1529,8,4745,1129,12,1791.3
45263,14362,1529,8,4745,1129,12,1870.2
45264,14362,1529,8,4745,1129,12,2072.5
45265,14362,1529,8,4745,1129,12,1999.6
45266,14362,1529,8,4745,1129,12,1741.7
45267,14362,1529,8,4745,1129,12,1702.1
45268,128,1529,8,4745,1129,12,1727
45269,14362,1529,8,4745,1129,12,1732.9
45270,14362,1529,8,4745,1129,12,1893
45271,14362,1529,8,4745,1129,12,1866.4
45272,14362,1529,8,4745,1129,12,1828.8
45273,14362,1529,8,4745,1129,12,1904.6
45274,14362,1529,8,4745,1129,12,2344.4
45275,14362,1529,8,4745,1129,12,2152.6
45276,14362,1529,8,4745,1129,12,2211.7
45277,14362,1529,8,4745,1129,12,2252.7
45278,14362,1529,8,4745,1129,12,2522.4
45279,14234,1478,8,4873,1129,12,2623.5
45280,13593,1325,78,5258,1129,12,2928.8
45281,13208,1275,39,5386,1129,12,3315.6
45282,14362,1529,8,4745,1129,12,2674.7
45283,14362,1504,8,4616,1101,12,2628.5
45284,14106,1147,8,4104,1082,12,1006.3
45285,128,0,8,0,0,12,0
45303,128,255,8,4616,1111,12,333
45304,4745,255,8,4745,1129,12,829.6
45305,128,204,8,4104,875,12,176.4
45306,128,255,8,4616,1049,12,303.5
45319,128,2294,8,3975,1129,12,406.2
45320,10387,2243,8,3975,1129,12,2057.5
45321,11798,1045,165,6027,1129,12,3784.9
45322,11926,765,235,6412,1129,12,3992.7
45323,128,816,235,6284,1129,12,2670.1
45324,128,1325,235,5514,1129,12,3230.4
45325,10387,1886,94,4745,1115,12,3107.4
45326,128,1784,8,2693,809,12,626.7
45327,128,1861,0,2436,842,12,46.8
45328,10387,2269,8,3591,1007,12,867.3
45329,10387,2294,8,3847,1087,12,1133.5
45330,5386,1300,0,2436,701,12,192.4
45402,128,0,8,9746,819,12,106.8
45403,128,204,8,11156,1096,12,376.2
45405,128,0,8,10387,1049,12,244.8
45406,128,25,235,11156,1125,12,2709.5
45407,128,0,8,11156,1129,12,2775.9
45408,128,0,8,11028,1129,12,3827.2
45409,128,0,8,7053,1129,12,3362.9
45410,128,0,8,6027,1125,12,1934
45411,128,153,8,5386,1096,12,1173.5
45412,1539,280,8,5258,1082,12,795.2
45413,128,0,8,5514,1129,4,2.8
45414,128,127,8,5129,1007,12,429
45415,128,25,39,5771,1049,12,747.3
45416,128,25,39,5129,913,12,192.2
45417,8335,994,39,4360,753,4,31.3
45446,128,76,8,5386,612,12,76.9
45447,128,25,8,6925,913,12,729.3
45448,9361,51,39,7309,1031,12,1426.3
45449,1026,153,8,7694,1059,12,1193.4
45450,24365,637,39,8079,1068,12,1651.7
45451,0,280,39,6027,941,12,823.2
45452,0,357,31,7822,960,12,1537.4
45453,0,765,39,10131,1115,12,3409.9
45454,0,1529,8,10002,1115,12,2568.9
45455,128,2804,8,9746,1101,12,2677.7
45456,30776,2600,8,9105,1129,12,3134.8
45457,30776,2575,8,8720,1129,12,4232.8
45458,30776,2575,8,8720,1129,12,4802.8
45459,30776,2575,8,8720,1129,12,3701.2
45460,30776,2575,8,8720,1129,12,3654.6
45461,30776,2575,8,8720,1129,12,4554.3
45462,30776,2575,8,8720,1129,12,4736.5
