Soil NOx emissions calculated according to an implementation of Yienger and Levy 1995
Tsoil, soil wetness, soil NO emission flux and canopy top flux (when) using CRF
Soil NO emission fluxes are calculated for Yienger and Levy emission class: Agric.-land              
Implying a wet soil NO emission factor:   0.36 [ngN m-2 s-1] and a dry soil NO emission factor:   0.36
     istep       ldatltime          Tsoil             ws      NO_slflux      NO_emflux
         # dd-mm-yy hh:min              K              m  molec m-2 s-1 molec. m-2 s-1
        67  25-06-12 20:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        68  25-06-12 21:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        69  25-06-12 21:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        70  25-06-12 22:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        71  25-06-12 22:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        72  25-06-12 23:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        73  25-06-12 23:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        74  26-06-12 00:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        75  26-06-12 00:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        76  26-06-12 01:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        77  26-06-12 01:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        78  26-06-12 02:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        79  26-06-12 02:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        80  26-06-12 03:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        81  26-06-12 03:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        82  26-06-12 04:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        83  26-06-12 04:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        84  26-06-12 05:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        85  26-06-12 05:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        86  26-06-12 06:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        87  26-06-12 06:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        88  26-06-12 07:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        89  26-06-12 07:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        90  26-06-12 08:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        91  26-06-12 08:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        92  26-06-12 09:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        93  26-06-12 09:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        94  26-06-12 10:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        95  26-06-12 10:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        96  26-06-12 11:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        97  26-06-12 11:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        98  26-06-12 12:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        99  26-06-12 12:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       100  26-06-12 13:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       101  26-06-12 13:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       102  26-06-12 14:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       103  26-06-12 14:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       104  26-06-12 15:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       105  26-06-12 15:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       106  26-06-12 16:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       107  26-06-12 16:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       108  26-06-12 17:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       109  26-06-12 17:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       110  26-06-12 18:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       111  26-06-12 18:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       112  26-06-12 19:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       113  26-06-12 19:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       114  26-06-12 20:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       115  26-06-12 20:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       116  26-06-12 21:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       117  26-06-12 21:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       118  26-06-12 22:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       119  26-06-12 22:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       120  26-06-12 23:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       121  26-06-12 23:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       122  27-06-12 00:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       123  27-06-12 00:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       124  27-06-12 01:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       125  27-06-12 01:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       126  27-06-12 02:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       127  27-06-12 02:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       128  27-06-12 03:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       129  27-06-12 03:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       130  27-06-12 04:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       131  27-06-12 04:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       132  27-06-12 05:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       133  27-06-12 05:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       134  27-06-12 06:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       135  27-06-12 06:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       136  27-06-12 07:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       137  27-06-12 07:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       138  27-06-12 08:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       139  27-06-12 08:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       140  27-06-12 09:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
